file,status,reason,word_count,alpha_ratio,symbol_ratio,digit_ratio,unique_token_ratio,repeat_token_ratio,avg_token_len,strict_lang,preview
data\whisper_transcriptions\1 Riche Kannibal - Millenium Samba 30095.txt,dropped,too_short(<6_words),3,0.8333,0.0,0.0,1.0,0.3333,4.6667,unknown,A CIDADE NO BRASIL
data\whisper_transcriptions\1-800-Band - Diver Blue 142128.txt,kept,,32,0.7485,0.0359,0.012,0.7188,0.0938,3.875,unknown,"Chainsaw 2, dive of love Chainsaw 2, dive of love The dog that you want her, yeah The blood that I ever heard Now you're not so sure, sure that I'll be waiting for you"
data\whisper_transcriptions\10ksqft Werehaus - 000010KSQFT00564-T4 _116261_.txt,dropped,low_token_diversity,11,0.8462,0.0,0.0,0.0909,1.0,5.0,unknown,Music Music Music Music Music Music Music Music Music Music Music
data\whisper_transcriptions\10ksqft Werehaus - Commercial Industrial _116116_.txt,dropped,too_short(<6_words),4,0.6538,0.1154,0.0385,1.0,0.25,4.25,unknown,Avo 5 eni � acompañ hurts
data\whisper_transcriptions\13adluck & uh-oh - Believe In Me (Reprise) 46726.txt,kept,,85,0.7505,0.039,0.0,0.8,0.0706,3.8941,unknown,"Cause I lack greed, lies written on they face like acne I took it back to the past me, the future not ready They was eating while I was fasting There's some prize in alumni, could task on a beat Bad luck on the floor, get them tongue tied Sun rising,"
data\whisper_transcriptions\20lb Sounds - Jimmy Carter (Live Acoustic) 74942.txt,dropped,too_short(<6_words),4,0.75,0.1,0.0,1.0,0.25,4.0,unknown,We'll be right back.
data\whisper_transcriptions\23 And Beyond The Infinite - Dancing the light 138207.txt,dropped,too_short(<6_words),4,0.75,0.05,0.0,1.0,0.25,3.25,unknown,I'm gonna fade it up
data\whisper_transcriptions\23 And Beyond The Infinite - Sons of cornucopia _138211_.txt,dropped,low_token_diversity,7,0.881,0.0476,0.0,0.2857,0.8571,10.5714,unknown,<|vi|> interpretate interpretate interpretate interpretate interpretate interpretate
data\whisper_transcriptions\320320320320 - Waves 55481.txt,kept,,7,0.8372,0.0233,0.0,1.0,0.1429,5.2857,unknown,Holy Mother's rock come job so discouraging
data\whisper_transcriptions\6 or 7 - Dear Listener 34994.txt,kept,,58,0.7688,0.0437,0.0,0.7414,0.0517,4.1897,unknown,"It makes a nice sentiment. And then, of course, Mr. Puhaka has sent us a report on the reception which he received on that day. Dear Mr. Puhaka, in the first place, of course, on behalf of my director and myself, I thank you. And in the second place,"
data\whisper_transcriptions\6th Sense &amp; Mick Boogie - 05 A-Trak &amp; Lupe Fiasco feat. 6th Sense - Me &amp; My Sneakers.mp3 11862.txt,kept,,109,0.7418,0.0516,0.0078,0.5963,0.1101,4.1376,unknown,"What up, Lovett? You ready to keep this thing running? You ready? Fuck it, I'ma take it like a relay The line's on the track, you think I'm running on the freeway In a great truck, never get the brakes pumped You think my kicks are on dust, cause the"
data\whisper_transcriptions\6th Sense &amp; Mick Boogie - Belief feat. John Mayer 11839.txt,kept,,104,0.7517,0.0561,0.0,0.7019,0.0673,4.2115,unknown,"Why try, why fire, high definition every mission I fly. What you don't see on the spin, you seein' again. It repeat on demand, and CNN ain't gotta be on the plan. When the USA today's free of the fans. So support me and cool off, cuz they in the lab "
data\whisper_transcriptions\6th Sense &amp; Mick Boogie - Classic Freestyle 11868.txt,kept,,72,0.7868,0.0152,0.0,0.8194,0.0694,4.1806,unknown,"Timeless I'm better than I ever been in Gone where I never been past Boogie Timeless I gotta thank y'all for this Check it, yo Fly out to Portland, I just touched down Tell the driver, bring me to the compound But first to the telly I pick up the cel"
data\whisper_transcriptions\6th Sense &amp; Mick Boogie - Classic Freestyle _11868_.txt,kept,,92,0.7614,0.0378,0.0,0.6413,0.0652,4.0761,unknown,"Time's better than I ever been in gone way, I never been fast Boogie, Time's better than I ever been in gone way, I never been fast Boogie, Time's better than I ever been in gone way, I never been fast I gotta thank y'all for this, check it, yo, I fl"
data\whisper_transcriptions\6th Sense &amp; Mick Boogie - Nike Boots Freestyle 11861.txt,kept,,92,0.7773,0.0223,0.0,0.7717,0.087,4.1304,unknown,"Here's a couple sizes, I think they might suit ya You mighta seen them on me last week down at Sutra Rest in peace, the big impact, they never found a shooter The six senses here, yeah, he's the sound of future I love the butter tooth songs like the "
data\whisper_transcriptions\6th Sense &amp; Mick Boogie - Team USA (prod. Just Blaze) 11867.txt,kept,,14,0.7424,0.0606,0.0,0.9286,0.1429,3.5,unknown,"Yeah, third or second, we coming in first, we gon' take on the gun"
data\whisper_transcriptions\6th Sense - 05 Too Complex Instrumental     {6th Sense & The Kid Daytona}.mp3 11773.txt,dropped,boilerplate_or_non_lyrics,7,0.8462,0.0513,0.0,1.0,0.1429,4.7143,unknown,For more information visit www.fema.org
data\whisper_transcriptions\6th Sense - 05 Too Complex Instrumental     {6th Sense & The Kid Daytona}.mp3 _11773_.txt,kept,,39,0.7289,0.0667,0.0222,0.5128,0.2051,4.1282,unknown,Two 귀MPLAIN Two 귀MPLAIN Two 귀MPLAIN Much too 귀MPLAIN Too 귀MPLAIN Too Too Tu Videm Too True To Vida Much tooıs blockchain Tooarb Mr. Dimes Much too смысoded Tooarb to cumbling Much too 금까 2ragi 2th sight T. S12 2th vision Bye.
data\whisper_transcriptions\6th Sense - 28 Chasing 1988 Instrumental     {Adele &amp; 6th Sense}.mp3 11764.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\6th Sense - 4AM Instrumental     {Wildabeast} 11786.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\6th Sense - Acapella 11782.txt,kept,,91,0.7784,0.0319,0.0,0.6154,0.0769,4.2418,unknown,"Projects also for the big dogs out there that, you know, do mixtapes and are looking for some fresh tracks to lace on their mixtapes for y'all as well. Just, you know, make sure you credit me. A lot of you artists out there don't properly credit the "
data\whisper_transcriptions\6th Sense - AM Set Instrumental     {Both Nice} 11785.txt,dropped,too_repetitive,6,0.8235,0.0294,0.0,0.5,0.6667,4.6667,unknown,Music Music Music Music Thank you.
data\whisper_transcriptions\6th Sense - Ate Ten Instrumental     {Both Nice} 11789.txt,dropped,boilerplate_or_non_lyrics,4,0.8261,0.0435,0.0,1.0,0.25,4.75,unknown,Welcome to the podcast.
data\whisper_transcriptions\6th Sense - Beyon My Instrumental     {6th Sense} 11766.txt,dropped,boilerplate_or_non_lyrics,9,0.7708,0.0625,0.0,1.0,0.1111,4.2222,unknown,"Welcome to the podcast, and we'll be right back."
